label,article
1,"Inamin na ni Jim Paredes na totoo ang alegasyon na mayroon siyang sex video. Ito ay matapos niyang sabihin na peke ang kumakalat na video sa social media. Sa statement ni Paredes sa kanyang website, sinabi nito na mahirap sa kanya ang pagsulat ukol sa sex video at masakit naman ito para sa mga makakabasa. ""This is very difficult for me to write, and for many of you, it will be painful to read,"" ani Paredes. Ayon kay Paredes, totoo ang video pero ito aniya ay pang pribado lamang at hindi para sa publiko. Hindi umano alam ni Paredes kung paano kumalat ang video pero nagpahiwatig ito na posibleng may halong pulitika ang paglabas nito sa social media. ""The video was real. It was private, and not meant for public consumption. I do not know how it became public. I can only surmise that in this ugly season of toxic politics, muckrakers determined to neutralize my influence by violating my privacy and digging up dirt on me are at work,"" ani Paredes. Nang makita umano ni Paredes ang video sa social media ay hindi niya alam kung paano ito sasagutin pero matapos mag-isip at magdasal ay nagdesisyon itong aminin ang video. ""When I saw it on social media, I was in a quandary how to respond. But after mulling and praying over it, I decided to come clean. There are already too many lies and liars in this world. I do not wish to be a part of that cabal. I have chosen to be truthful because I know that painful as the truth can be, it will eventually set me free,"" saad ni Paredes. Sa huli ng kanyang pahayag ay humingi ito ng paumanhin sa kanyang pagiging iresponsable at sa mga nadismaya sa kanya dahil tao lang aniya siya na nagkakamali. ""I have never tried to project myself as perfect. Of all the sins in this world, I believe sex is the most human of all. I am not saying this to excuse what, I regret, was broadcast on social media. I have always expressed my feelings freely. Today, I wish to express my truth. I am a flawed person, a human being, much like everyone else. I made a mistake, I was irresponsible. And I am truly sorry,"" ani Paredes. ""I know many of you have judged me and condemned me, and those who held me in high esteem are disappointed in me, to put it mildly. I apologize for my irresponsibility. But most especially, I stand in bottomless sorrow and contrition before my family who are reeling from the hurt and aggravation, and the embarrassment and shame, that should only be mine. I pray that they be spared any more wicked trolling by those who would revel in their pain,"" dagdag ng Paredes."
0,"Personal niyang tinanggap ang parangal ng NCAA. Sa dinami-dami ng awards na ipinagkaloob sa kanya bilang artista at public servant, excited pa rin ba siyang umakyat sa stage at tumanggap ng awards? ""Oo naman! Sa totoo lang naman, eh, karangalan ko bilang isang artista for so many years at isa na akong public servant and yet ang ganitong karangalan, nakaka-boast ng morale ko,"" sabi ni Ate Vi nang makausap namin sa mismong venue. Tuwing tatanggap siya ng acting award o pagkilala sa kanyang kahusayan bilang artista ay lalo niyang name-miss ang pag arte. ""Parte ng na buhay ko ang showbiz at eversince, nasa puso ko ang pag-aartista at alam din naman 'yan ng constituents ko at hindi mawawala ang pagiging Vilma Santos ko na artista at lagi andiyan 'yan at utang na loob ko rin 'yan kung saan ako andun, eh, dahil 'yan sa pagiging artista ko,"" lahad pa niya. Umugong din sa venue ang usap-usapan na kasunod na raw ng pagkilala ng NCAA ang paggawad naman sa kanya ng National Artist. Itinanong naming ito kay Ate Vi pero tanging iling lang ang isinagot niya sa amin. Tiniyak ni Ate Vi na sa magkakapelikula na siya ngayong taon. ""Pakiusap ko naman 'yan sa mga taga-Batangas na payagan nila ako na makagawa kahit isang pelikula lang. Kumbaga, mapagbigyan lang nila ang hiling ko kahit every two years isang movie lang, eh, okey na ako. 'Wag lang mawala kasi hinahanap ko rin talaga,"" seryosong lahad ng Star for All Seasons. Pinasalamatan niya ang Vilmanians at ang lahat ng madlang pipol na hanggang ngayon ay sumusuporta pa rin sa kanya, dahil sila, sunod sa kanyang pamilya, ay nananatiling inspirasyon niya. Samantala, tinututukan din pala ni Ate Vi ang mga nagaganap simula nang lumabas ang balita sa madugong engkuwentro sa Mamapasano hanggang sa imbestigasyon sa pagpatay sa SAF 44. Aniya, hindi biro ang trabaho ng mga pulis. ""In fact, I always tell them na napakalaki ng respeto ko sa trabaho nila. Alam naman nating kahalati ng buhay nila, eh, laging nasa delikadong sitwasyon. So, kung meron man d'yan na gumagawa ng kalokohan, eh, higit na mas marami ang nakahandang magbuwis ng buhay laban sa kanila para sa atin. ""Kumbaga, para iligtas tayong lahat at para sa bayan. Kaya I truly sincerely salute them. And please continue to protect us. Maraming maraming salamat sa inyo,""sey pa ni Ate Vi. ""Siyempre, tuloy pa rin ang prayers ko hindi lang para sa pamilya ng mga namatayan nating miyembro ng SAF kundi pati na rin sa mga kapatid nating mga Muslim na namatayan din. May pamilya din 'yun and I guess the most important thing, we can only have peace when we get justice,"" dugtong pa niya. Nabanggit ni Ate Vi ang pag-iyak ni General Espina sa Senate hearing aniya ay na natural na reaksiyon."
1,"Viral ngayon sa isang social media site ang larawan ng sikat na bulkan sa Pilipinas na tila'y may suot na payong Bandang alas-singko ng umaga noong Abril 23, nakuhahan ni Facebook user Noli Luna ang Bulkang Mayon na may nakapatong na nakamamanghang hugis payong na ulap. Ibinahagi agad ni Luna sa kanyang account ang litrato at may caption na: ""Daragang Magayon, wearing her white umbrella..."" Tinatawag na lenticular clouds ang nakita sa ibabaw ng Mayon Volcano. Narito ang explanation ni Accuweather.com Meteorologist Jesse Ferell tungkol sa nangyaring cloud formation: ""When air moves over mountains, cooling sufficiently for condensation to take place. Lenticular clouds are different from other clouds because they don't move."" Samu't-saring ang naging reaksyon ng mga netizens sa larawang ito. Ilan dito ay: ""Sobrang init na daw ng panahon kaya pati Mayon nagpayong na. Charot""                ""Wow ang ganda naman!"" ""Magayon in its real sense beautifully amazing."" Sa ngayon, umabot ng mahigit 32.3k likes at 30,325 shares ang post."
0,Ito'y sa kabila nang marami na rin namang tao ang dumalo sa mga anticipated mass na isinagawa noong Lunes ng gabi. Naging masaya ang misa kahit hindi na halos makapasok sa simbahan ang mga nagsisimba dahil sa dami ng parokyano.
1,"Siguro naalala niyo pa 'yung pagkakamali ni dating Presidential Communications Operations Office (PCOO) Assistant Secretary Mocha Uson tungkol sa sinabi niya na ang bulkang Mayon ay nasa Naga? Magugunita na ang maliit na pagkakamali na ito ay pinalaki ng husto ng mga taga-mainstream media. Ang malala pa, may ilang kababayan tayo na tinawag itong 'fake news' kahit na malinaw na nagkamali lang si Uson. Ngayon naman ay bumuwelta si Uson sa Inquirer, isang mainstream media news outfit. Sa artikulo kasi ng Inquirer tungkol sa kasong kinakaharap ni Rappler CEO Maria Ressa. Tinawag nilang National Bureau of Immigration ang NBI. Mali po iyon, dahil ang letrang I sa NBI ay Investigation hindi Immigration. ""Noong tayo po ay nagkakamali ang tawag ng mga MEDIA- FAKE NEWS na kaagad. Iba po ang Fake news sa Wrong News o yung hindi sinasadyang mali. Ibig sabihin walang intention manlinlang ng tao. Tulad nitong pagkakamali ng Inquirer.net, hindi masasabing FAKE NEWS ito. Nagakamli sila tulad ko din po dati. Kaya yung pag sabi nila ng FAKE NEWS dati ay malisyosyo. Yan tuloy kinakarma na ang mga teroristang media,"" banat ni Uson sa mga taga-mainstream media. Aming pong in-archive ang pagkakamali ng Inquirer, kaya kahit baguhin nila at itama ay hindi nila maitatanggi ang kanilang pagkakamali. Basahin ang reaksyon at tugon ng ilang kababayan natin sa pagkakamali ng Inquirer. ""Buti di bureau of irrigation hahahaha,"" sabi ni J. Tudtud. ""What!!!! This big a newspaper do not proof read their printing ? What a shame, if i were the chief, i will demote the editor and chief to become type setter.,"" sabi ni L. Ebersole. ""ngaun ko lng nalaman na may bago na palang ahensya ang ating Gobyerno... kakaiba tlga ang pangulo naten ngaun.. build build build.. daming accomplishment ahhaha,"" sabi ni J. Dapien. ""Mali mali na namanAng Philippine Inquirer. Imbes na Bureau of Investigation naging Immmigation. Hahaha,"" sabi ni A. Nudas. "" For a big newspaper, especially one that is quick to ""bash"" errors of others, there is no excuse. Ever heard of proofreading before publication? (o baka naman the writer does not really know the meaning of NBI? chereet),"" sabi ni D. Dapiawen. Source: Archive | Inq | Mocha Uson Blog"
0,"Sinabi ng isang opisyal ng PVF na nagpadala ng kanyang pagsuporta si FIVB president Dr. Ary S. Graca ng Brazil sa pagsasagawa ng demokratikong proseso upang tuluyan nang mareresolbahan ang kaguluhan sa liderato ng asosasyon sa bansa. Una nang nagpadala ang FIVB noong Nobyembre 19, 2014 ng isang attestation na kinikilala ang PVF bilang lehitimong miyembro bagamat patuloy itong binabalewala ng POC na bumuo ng sariling asosasyon na kinilala bilang Larong Balibol sa Pilipinas (LBP). ""We hereby confirm that the PVF has been affiliated to the FIVB since 1951 and is also a member of the Asian Volleyball Confederation (AVC). This federation is in good standing with the FIVB, pays its affiliation fees and attends the World Congresses,"" sinabi sa attestation ng FIVB. ""The FIVB recognizes this Federation as the legitimate and exclusive authority, under the leadership of its President, WM Karl Geoffrey Chan II and its secretary general Dr. Rustico Camangian, to govern Volleyball and Beach Volleyball in the Philippines,"" ayon pa sa sulat. Gayunman, tuluyan nang tinuldukan ng POC, sa isinagawang general assembly noong Miyerkules, ang pagkilala sa PVF na matagal nang hindi miyembro ng sports governing body sa bansa. Sinabi ni POC secretary general Steve Hontiveros na napagtanto sa Executive Board meeting na kinakailangan uli ng PVF na magre-apply upang makunsidera ang pagiging miyembro sa asosasyon. Nabuo ang desisyon ng POC Executive Board matapos na maberipika na mayroong dalawang magkahiwalay na grupo na bumibitbit sa pangalan ng PVF na binuo sa magkahiwalay na taon sa listahan ng Securities and Exchange Commission, ang una ay noong 2005 at ang ikalawa ay noong 2014. Ipinaliwanag ni Hontiveros na ang 2005 PVF na siyang kinikilala ng POC ay lubhang kaiba mula sa 2014 PVF na nakasaad na sina Chan at Camangian ang presidente at secretary general. Idinagdag ni Hontiveros na para maisaayos ng PVF ang kaguluhan at upang muling kilalanin ng POC ay muli silang mag-apply para sa membership. ""They have to apply again and go through the process of getting recognition from the international federation,"" pahayag ni Hontiveros. Huling nagtalaga at inaprubahan ng pamunuan ng PVF, sa isinagawang Board of Directors meeting noong Mayo 30, 2013 sa Vito Cruz, Manila, ang liderato matapos na magbitiw sa posisyon ang dating pangulo na si Gener Dungo. Pinalitan nila si Dungo sa pagluklok kay Chan bilang presidente habang ang chairman ay si Pedro Mendoza. Si Mendoza ay namayapa noong nakaraang taon at pinalitan naman ni Edgardo Cantada. Pumalit sa puwesto ni Chan si Artagnan Yambao bilang bise-presidente. Ang iba pang opisyales ay sina Victor Abalos (Commissioner), Roger Banzuela (Treasurer), Minerva Dulce Pante (Auditor), Nestor Bello (Referees Chairman), Yul Benosa (Rules Chairman) at Adrian Paolo Laurel (PRO)."
0,"Sinabi ni Helen Flores, pinuno ng Comelec Bids and Awards Committee (BAC), na tanging ang Scytl Secured Electronic Voting ang bumili ng bidding document para sa lease ng mga DRE machine habang wala pang bidder para sa mga OMR. Ang bid document ng OMR ay nagkakahalaga ng P75,000 habang ang DRE ay P25,000 at ang mga ito ay mabibili sa BAC secretariat sa Intramuros, Manila hanggang Marso 30. Nang tanungin kung ano ang posibleng dahilan sa kakaunting bidder, sinabi ni Flores na may epekto ang inihaing protesta ng Smartmatic-TIM matapos itong diskuwalipikahin sa bidding sa isang en banc session. ""The protest filed by Smartmatic-TIM at the commission en banc will directly affect this bidding process. Because the commission en banc may affirm or reverse our decision... If they sustain our decision, we can proceed with this second round. If they reverse it, then we can totally abandon the second round and go back to the first round,"" dagdag niya. Nagsagawa kamakalawa ng pre-bid conference ang Comelec BAC para sa OMR at DRE sa main office ng komisyon sa Intramuros. Isinagawa ang ikalawang bidding matapos ideklara na ""failed bidding"" ang proseso para sa lease project ng OMR at DRE nang madiskuwalipika ang Smartmatic-TIM at isa pang bidder na Indra Sistemas S.A."
1,"Ayon sa ulat ng Philstar, umabot sa P42.7 billion ang tinubo ng Bangko Sentral ng Pilipinas (BSP) noong Enero hanggang Nobyembre ng 2018 dahil sa pagbabagu-bago foreign exchange. Ang kita ay umangat ng 3.9% (P61.35 billion). Tumalon din ang Interest income sa international reserves at domestic securities ng 31.1 percent sa P69.56 billion para mabura ang mga nawalang P8.1 billion. Basahin ang reaksyon ng mga followers ng Facebook page na Flying Ketchup nang ibahagi nito ang balita sa kanyang blog. Source: Philstar | Flying Ketchup"
1,"Sa kanyang talumpati sa PDP-Laban Campaign Rally sa Bacolod City, pinatamaan ni Presidente Rodrigo Duterte ang magpinsan na sina dating Presidente Noynoy Aquinoat Senador Bam Aquino. Ayon sa Pangulo, wala naman daw naging contribution ang dalawa sa ating bansa. Banat ng Pangulo, puro pagne-negosyo daw si Bam at hindi naman nabago ang buhay ng mga Pilipino. Si Bam ay kasapi sa Otso Diretso senatorial candidates. ""Bam Aquino, susmaryosep. Anong ginawa nito? Sige lang istorya, sige negosyo to improve the lives of the Filipinos. Wala namang nag-improve sa ginawa niya. 'Yung tiyuhin niya o pinsan ba niya ito? Siguro 'yung si Ninoy. Pero itong dalawang sumunod na Aquino? Tsk. Wala. What is his con -- or was -- or is his contribution? Matanong ko lang kayo. 'Yong magtinginan tayo sa mata. Lalabas ako. Ano? Ay sige bayaan mo 'yang'"" banat ng Presidente. Source: Remate | RTVM"
1,"Sa wakas ay nakapagbigay na ng bagong update ang PNP ukol sa brutal na pAgPaTay sa grade 9 student na si Christine Lee Silawan. Umaga ng Marso 11 nang makita ang katawan nito sa isang bakanteng lote at nasa hindi magandang disposisyon. Nawawala din ang ibang internal organs nito tulad ng dila, trachea, at esophagus. Kinilalang si Jonas Bueno ang lalaking nasa larawan at ngayon ay pinaghahanap na ng otoridad. Hiling naman ng ibang netizen ay sana hindi ito isang kaso ng wrong accusation upang agad na malutas ang kaso at mabigyan na ng katarung4n ang dalaga. Kailangan umano muna mapatunayan ng PNP na si Jonas Bueno ang pUmAtay kay Christine. Source: Angat Pilipino, PhilStar"
